"id"	"open"	"close"	"high"	"low"	"vol"	"amount"	"count"	"update_time"
"1604046600"	"4.1649"	"4.1605"	"4.1682"	"4.16"	"59343.8250733"	"14249.907162950078"	"400"	
"1604047500"	"4.1607"	"4.1508"	"4.161"	"4.1413"	"182383.47204574"	"43929.21470736077"	"774"	
"1604048400"	"4.1508"	"4.1243"	"4.1508"	"4.1172"	"502984.57886556385"	"121794.3147453207"	"2581"	
"1604049300"	"4.1249"	"4.1372"	"4.1491"	"4.1211"	"231626.09475793564"	"56035.78922457537"	"1356"	
"1604050200"	"4.1374"	"4.1319"	"4.1376"	"4.13"	"104453.57975865109"	"25266.88116463386"	"643"	
"1604051100"	"4.1319"	"4.1263"	"4.1346"	"4.12"	"149915.0819833702"	"36319.503979315676"	"1022"	
"1604052000"	"4.1263"	"4.138"	"4.1437"	"4.1238"	"254616.43139490642"	"61627.36153818242"	"1001"	
"1604052900"	"4.1381"	"4.1305"	"4.1384"	"4.13"	"71490.62588944"	"17291.416530053008"	"535"	
"1604053800"	"4.1304"	"4.1122"	"4.1304"	"4.11"	"218304.7323603936"	"52985.13476517073"	"829"	
"1604054700"	"4.1122"	"4.117"	"4.1199"	"4.112"	"143051.97478748"	"34759.73188466952"	"418"	
"1604055600"	"4.1175"	"4.1187"	"4.1274"	"4.1175"	"123000.744184"	"29845.314177421744"	"507"	
"1604056500"	"4.1186"	"4.1128"	"4.1188"	"4.1101"	"99583.272671"	"24204.334636007876"	"465"	
"1604057400"	"4.1128"	"4.1266"	"4.1313"	"4.111"	"122218.5666769719"	"29655.77026099578"	"604"	
"1604058300"	"4.1265"	"4.1196"	"4.132"	"4.1195"	"110167.28756326216"	"26696.492389785268"	"613"	
"1604059200"	"4.1203"	"4.1036"	"4.1203"	"4.1032"	"284330.61212881963"	"69191.83051804398"	"1025"	
"1604060100"	"4.1038"	"4.1112"	"4.1182"	"4.1001"	"120429.63239737"	"29319.390387834457"	"563"	
"1604061000"	"4.1101"	"4.1158"	"4.1174"	"4.1083"	"72543.59151282566"	"17638.2427992308"	"380"	
"1604061900"	"4.116"	"4.1166"	"4.1258"	"4.1111"	"77123.67279872313"	"18725.308130013946"	"515"	
"1604062800"	"4.1165"	"4.1218"	"4.1237"	"4.1114"	"65517.99935929768"	"15909.87551625967"	"447"	
"1604063700"	"4.1218"	"4.112"	"4.1235"	"4.1008"	"108362.10054114227"	"26357.46626568125"	"707"	
"1604064600"	"4.1124"	"4.104"	"4.1172"	"4.103"	"108814.4508875655"	"26488.323469413393"	"723"	
"1604065500"	"4.1039"	"4.102"	"4.1088"	"4.0989"	"378382.57438768784"	"92257.6504097266"	"1259"	
"1604066400"	"4.1019"	"4.1003"	"4.1145"	"4.08"	"291686.5290138361"	"71211.6864416243"	"1899"	
"1604067300"	"4.1003"	"4.0945"	"4.1051"	"4.094"	"90762.06695049"	"22140.701644363136"	"774"	
"1604068200"	"4.0944"	"4.0843"	"4.0987"	"4.08"	"209237.24472267"	"51206.93962123468"	"1084"	
"1604069100"	"4.0843"	"4.0881"	"4.0918"	"4.0841"	"81653.58915153"	"19974.94658000616"	"571"	
"1604070000"	"4.088"	"4.11"	"4.11"	"4.088"	"213347.9113028584"	"52030.90155183713"	"804"	
"1604070900"	"4.11"	"4.108"	"4.1129"	"4.0977"	"129796.36943073574"	"31611.48663538006"	"756"	
"1604071800"	"4.1079"	"4.12"	"4.12"	"4.1056"	"61521.59410004593"	"14957.651828209406"	"474"	
"1604072700"	"4.1198"	"4.121"	"4.1224"	"4.1178"	"132955.942368"	"32269.165337369865"	"563"	
"1604073600"	"4.121"	"4.093"	"4.1216"	"4.0796"	"275130.7151282047"	"67144.64299109609"	"1542"	
"1604074500"	"4.0936"	"4.1047"	"4.1097"	"4.0896"	"120809.69767357"	"29452.738284484898"	"785"	
"1604075400"	"4.1057"	"4.1077"	"4.1091"	"4.1029"	"54551.9381350855"	"13283.9900437652"	"354"	
